policy,workload,cache_kb,assoc,lru_hit_rate,pol_hit_rate,hr_delta_pct,lru_cycles_M,pol_cycles_M,cycle_reduction_pct,lru_mpki,pol_mpki,mpki_reduction
random,stride,256,16,54.44,50.92,-3.52,2112.82,2072.69,1.9,455.6,490.8,-35.2
adaptive_lf20_iv500k,stride,256,16,54.44,63.27,8.83,2112.82,2074.41,1.82,455.6,367.3,88.3
fifo,loop,256,32,94.83,89.07,-5.76,849.35,846.79,0.3,51.7,109.3,-57.6
random,loop,256,32,94.83,84.36,-10.47,849.35,855.18,-0.69,51.7,156.4,-104.7
adaptive_lf20_iv500k,loop,256,32,94.83,96.96,2.13,849.35,843.19,0.73,51.7,30.4,21.3
fifo,stream,256,32,47.23,46.42,-0.81,3170.92,3167.06,0.12,527.7,535.8,-8.1
random,stream,256,32,47.23,45.78,-1.45,3170.92,3217.22,-1.46,527.7,542.2,-14.5
adaptive_lf20_iv500k,stream,256,32,47.23,47.35,0.12,3170.92,3244.3,-2.31,527.7,526.5,1.2
fifo,mixed,256,32,73.98,76.62,2.64,1729.24,1765.76,-2.11,260.2,233.8,26.4
random,mixed,256,32,73.98,67.1,-6.88,1729.24,1737.32,-0.47,260.2,329.0,-68.8
adaptive_lf20_iv500k,mixed,256,32,73.98,84.0,10.02,1729.24,1719.14,0.58,260.2,160.0,100.2
fifo,stride,256,32,59.17,62.88,3.71,2099.42,2111.43,-0.57,408.3,371.2,37.1
random,stride,256,32,59.17,55.51,-3.66,2099.42,2126.17,-1.27,408.3,444.9,-36.6
adaptive_lf20_iv500k,stride,256,32,59.17,69.32,10.15,2099.42,2070.76,1.37,408.3,306.8,101.5
fifo,loop,512,8,92.51,85.15,-7.36,847.61,861.63,-1.65,74.9,148.5,-73.6
random,loop,512,8,92.51,80.25,-12.26,847.61,862.37,-1.74,74.9,197.5,-122.6
adaptive_lf20_iv500k,loop,512,8,92.51,91.5,-1.01,847.61,855.38,-0.92,74.9,85.0,-10.1
fifo,stream,512,8,41.9,42.68,0.78,3173.35,3221.52,-1.52,581.0,573.2,7.8
random,stream,512,8,41.9,42.4,0.5,3173.35,3202.55,-0.92,581.0,576.0,5.0
adaptive_lf20_iv500k,stream,512,8,41.9,43.1,1.2,3173.35,3204.75,-0.99,581.0,569.0,12.0
fifo,mixed,512,8,69.06,71.65,2.59,1773.45,1764.49,0.51,309.4,283.5,25.9
random,mixed,512,8,69.06,62.91,-6.15,1773.45,1734.24,2.21,309.4,370.9,-61.5
adaptive_lf20_iv500k,mixed,512,8,69.06,79.05,9.99,1773.45,1755.08,1.04,309.4,209.5,99.9
fifo,stride,512,8,56.91,59.18,2.27,2127.98,2079.42,2.28,430.9,408.2,22.7
random,stride,512,8,56.91,53.26,-3.65,2127.98,2081.65,2.18,430.9,467.4,-36.5
adaptive_lf20_iv500k,stride,512,8,56.91,65.19,8.28,2127.98,2088.96,1.83,430.9,348.1,82.8
fifo,loop,512,16,95.46,85.78,-9.68,857.43,852.1,0.62,45.4,142.2,-96.8
random,loop,512,16,95.46,81.82,-13.64,857.43,871.94,-1.69,45.4,181.8,-136.4
adaptive_lf20_iv500k,loop,512,16,95.46,92.92,-2.54,857.43,840.4,1.99,45.4,70.8,-25.4
fifo,stream,512,16,44.93,44.48,-0.45,3178.22,3225.32,-1.48,550.7,555.2,-4.5
random,stream,512,16,44.93,44.16,-0.77,3178.22,3215.52,-1.17,550.7,558.4,-7.7
adaptive_lf20_iv500k,stream,512,16,44.93,45.13,0.2,3178.22,3234.54,-1.77,550.7,548.7,2.0
fifo,mixed,512,16,73.42,74.13,0.71,1743.52,1773.4,-1.71,265.8,258.7,7.1
random,mixed,512,16,73.42,65.81,-7.61,1743.52,1758.7,-0.87,265.8,341.9,-76.1
adaptive_lf20_iv500k,mixed,512,16,73.42,82.24,8.82,1743.52,1736.14,0.42,265.8,177.6,88.2
fifo,stride,512,16,59.77,62.03,2.26,2124.47,2072.25,2.46,402.3,379.7,22.6
random,stride,512,16,59.77,55.95,-3.82,2124.47,2102.04,1.06,402.3,440.5,-38.2
adaptive_lf20_iv500k,stride,512,16,59.77,68.05,8.28,2124.47,2091.04,1.57,402.3,319.5,82.8
fifo,loop,512,32,98.4,93.07,-5.33,852.17,856.08,-0.46,16.0,69.3,-53.3
random,loop,512,32,98.4,86.18,-12.22,852.17,865.62,-1.58,16.0,138.2,-122.2
adaptive_lf20_iv500k,loop,512,32,98.4,98.11,-0.29,852.17,857.33,-0.61,16.0,18.9,-2.9
fifo,stream,512,32,48.81,50.04,1.23,3200.76,3235.05,-1.07,511.9,499.6,12.3
random,stream,512,32,48.81,49.55,0.74,3200.76,3194.22,0.2,511.9,504.5,7.4
adaptive_lf20_iv500k,stream,512,32,48.81,49.46,0.65,3200.76,3218.52,-0.55,511.9,505.4,6.5
fifo,mixed,512,32,76.13,79.21,3.08,1729.32,1770.89,-2.4,238.7,207.9,30.8
random,mixed,512,32,76.13,71.35,-4.78,1729.32,1769.99,-2.35,238.7,286.5,-47.8
adaptive_lf20_iv500k,mixed,512,32,76.13,86.76,10.63,1729.32,1730.16,-0.05,238.7,132.4,106.3
fifo,stride,512,32,63.2,66.18,2.98,2126.72,2095.39,1.47,368.0,338.2,29.8
random,stride,512,32,63.2,59.76,-3.44,2126.72,2088.56,1.79,368.0,402.4,-34.4
adaptive_lf20_iv500k,stride,512,32,63.2,72.3,9.1,2126.72,2087.21,1.86,368.0,277.0,91.0
